run,Episode Length,loss,exploration,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
582,5002,0.0005637039969568832,0.48495974565121913,-23.822759301050223,4.240514837375254,3.7199999999999998,49.345335515548285,357,5.967741935483871,93.54838709677419,0.4838709677419355
583,5002,0.0003497782856475169,0.48435993110149284,-19.413218064687925,7.789963564267935,3.99,53.0278232405892,325,4.360902255639098,95.48872180451127,0.15037593984962408
584,5002,0.0008371094432093742,0.48376086615107633,-26.418426246658342,4.347708205841809,3.624,46.89034369885434,435,9.602649006622517,90.23178807947019,0.16556291390728478
585,5002,0.0005779597646183447,0.48316254986318147,-21.323177868182533,4.942633156553241,4.236,56.219312602291325,311,5.382436260623229,94.3342776203966,0.28328611898017
586,5002,0.0004642980195114433,0.482564981302191,-21.62219584991054,3.600728692826803,3.7439999999999998,49.59083469721768,299,4.967948717948718,94.87179487179486,0.0
587,5002,0.0008899684330255695,0.4819681595336568,-24.325747181228383,3.740174088517613,3.666,48.690671031096564,420,7.201309328968904,92.7986906710311,0.0
588,5002,0.0006636788894082202,0.4813720836242984,-22.974923058236858,4.318069644893957,3.702,49.263502454991816,378,4.051863857374392,95.78606158833063,0.1620745542949757
589,5002,0.0005026107433555808,0.480776752642002,-18.776028223985623,4.5666371950604745,3.84,50.736497545008184,328,7.34375,92.65625,0.0
590,5002,0.000611899684666787,0.4801821656558184,-22.3565107828618,3.716532043741173,3.624,47.46317512274959,382,7.6158940397351,91.88741721854305,0.49668874172185434
591,5002,0.0005025607624562326,0.47958832173596194,-22.794693814569264,5.069203803322533,3.864,50.40916530278232,364,8.074534161490684,91.92546583850931,0.0
592,5002,0.0005503462568563918,0.47899521995380906,-20.210207602591908,4.8299178486383,3.9119999999999995,51.96399345335515,299,3.834355828220859,96.0122699386503,0.15337423312883436
593,5002,0.00044639676956849145,0.47840285938189636,-25.37164104370031,3.2600536543813936,3.606,47.46317512274959,411,4.492512479201332,95.50748752079868,0.0
594,5002,0.0008624148481133489,0.47781123909391987,-16.081621848826284,4.142775846801868,4.068,54.173486088379704,279,8.997050147492626,90.85545722713864,0.14749262536873156
595,5002,0.00023836577374204354,0.4772203581647331,-18.911075678860886,6.595505762636785,4.032,53.35515548281505,314,7.291666666666667,92.70833333333334,0.0
596,5002,0.0005569044177548676,0.4766302156703457,-18.195062925849143,3.6899170867347983,3.8519999999999994,50.98199672667758,322,8.411214953271028,91.43302180685359,0.1557632398753894
597,5002,0.000398254245478347,0.47604081068792203,-21.38251355340492,3.8463628851231153,3.738,50.0,328,3.210272873194221,96.46869983948636,0.32102728731942215
598,5002,0.0004675138180778049,0.4754521422957798,-26.265144652240895,4.365682992955574,3.528,46.72667757774141,399,4.421768707482993,95.578231292517,0.0
599,5002,0.00045930383265572344,0.4748642095733886,-21.182195267971714,6.872764381135255,3.9960000000000004,51.882160392798696,341,8.258258258258259,91.5915915915916,0.0
600,5002,0.0005173725393680797,0.47427701160136837,-16.63912997915705,8.369152106265975,4.2059999999999995,55.48281505728314,245,7.132667617689016,92.29671897289586,0.5706134094151213
601,5002,0.0005662774297796204,0.4736905474614879,-25.25338149142029,4.098245257743323,3.504,46.15384615384615,375,7.534246575342466,91.6095890410959,0.684931506849315
602,5002,0.0003501456547724956,0.4731048162366638,-24.193815554627502,4.082551471181992,3.738,50.0,364,5.457463884430177,94.54253611556982,0.0
603,5002,0.00024628320249012176,0.4725198170109584,-18.295286481366922,4.004481875051045,3.8519999999999994,50.49099836333879,297,10.12461059190031,89.7196261682243,0.1557632398753894
604,5002,0.0006096241049798664,0.47193554886957906,-21.15886949736568,4.434697138596946,3.8579999999999997,51.882160392798696,362,9.953343701399689,87.86936236391914,2.177293934681182
605,5002,0.0004525857064078991,0.47135201089887613,-17.771598059520098,3.427612367725302,3.804,50.40916530278232,315,6.309148264984227,93.05993690851734,0.6309148264984227
606,5002,0.0006128142066697365,0.47076920218634183,-22.039138824793245,3.3564018465015133,3.7560000000000002,50.0,369,4.792332268370607,94.40894568690096,0.7987220447284344
607,5002,0.0006111858871194272,0.4701871218206089,-23.101933320174197,4.665800900537997,3.7979999999999996,49.83633387888707,359,6.31911532385466,93.52290679304897,0.0
608,5002,0.0011697510604974923,0.4696057688914487,-21.4944553349274,4.206146988869577,3.804,50.08183306055647,358,12.302839116719243,87.69716088328076,0.0
609,5002,0.0007085684769443106,0.46902514248977045,-20.941321796775892,5.398138758923607,3.6540000000000004,48.3633387888707,370,13.628899835796387,86.20689655172413,0.16420361247947454
610,5002,0.00045125513005241373,0.4684452417076194,-25.611327947959897,3.5252024099690895,3.828,50.327332242225864,353,7.523510971786834,92.31974921630093,0.1567398119122257
611,5002,0.0008711899220217674,0.46786606563817534,-19.860677581591872,4.91224186275573,3.846,51.227495908346974,281,7.800312012480499,91.41965678627145,0.7800312012480499
612,5002,0.0008480829581276339,0.4672876133757515,-28.077289134941676,3.4837757103314853,3.336,43.862520458265145,437,8.273381294964029,91.72661870503596,0.0
